"some foods with low fat",fat
"i need foods that has low fat",fat
"do you know some foods with low fat?",fat
"recommend me some foods that has diminutive fat",fat
"any low fat food",fat
"any food with low fat",fat
"i need some foods that has low sodium",sodium
"i need some foods that are not salty",sodium
"i want low sodium foods",sodium
"i want not salty foods",sodium
"do you know any foods that has less sodium?",sodium
"do you know any foods that are not salty?",sodium
"not salty ones please",sodium
"I have hyperlipidemia",cholesterol
"I want low cholesterol foods",cholesterol
"do you know low cholesterol foods?",cholesterol
"any low cholesterol foods?",cholesterol
"some low cholesterol foods?",cholesterol
"give me some high protein foods",protein
"i need high protein foods",protein
"i'm on weight training",protein
"i want high protein foods",protein
"any high protein foods",protein
"i want low carbohydrate foods",carbohydrate
"i need low-carbohydrate diet",carbohydrate
"i should eat low carb diet",carbohydrate
"do you know low carb foods?",carbohydrate
"recommend me some low carbohydrate foods",carbohydrate
"do you know some foods has sodium more than 10 mg",upper
"give me foods with carbohydrate more than 30 g",upper
"i need foods that can make in more than 30 minutes.",upper
"I need foods under 5 g of fat",upper
"I want foods over 300 calories",upper
"i want foods that has cholesterol over 1 mg",upper
"recommend me foods that has more than 1 gram of protein",upper
